# CENSUS not a reclassification. origin/main sha=2b4d217a04 (v1 rows were 98eb2b4f41). TypeKind=99 TypeExprKind=54 Concept-ID=24 on this worktree; origin/main also has SOUNIO-EXACTNESS (#1941) — not crossed here.
# fit: embodies | related | related-name-only | none | undocumented-kind
# side=concept: one row per registry Concept-ID.
# side=undoc-kind: one row per founder-brief 22 TypeKinds with no documentation.
# side=family-g: the four assigned kinds (two of which are also in the 22).
side	id	peer	fit	sha_main	notes
concept	SOUNIO-POLICY-STATE-FEEDBACK	TyPolicy,TyDecisionPolicy	related	2b4d217a04	DecisionPolicy is undocumented; Family B
concept	SOUNIO-POLICY-OBSERVATION-ASSOCIATOR	TyMonitoringPolicy,TyObservedTransition	related	2b4d217a04	both kinds undocumented; Family B
concept	SOUNIO-PROOF-CARRYING-REBRACKETING-PROTOCOL	TyProof	related	2b4d217a04	certificate vs protocol
concept	SOUNIO-PATH-CONDITIONED-PARTIAL-IDENTIFICATION	TyIntervention,TyCounterfactual,TyCausalEffect,TyCondIndep	related	2b4d217a04	CondIndep undocumented
concept	SOUNIO-PROOF-CARRYING-STATISTICAL-COVERAGE-EMPIRICAL-BINDING	TyDistribution,TySample	related	2b4d217a04	probabilistic kinds vs sealed-coverage protocol
concept	SOUNIO-PROOF-CARRYING-DEPLOYMENT-VALIDITY-REVOCABLE-AUTHORITY	TyValidated,TyValidation,TyAdmissible	related	2b4d217a04	validity kinds vs affine warrant
concept	SOUNIO-PROOF-CARRYING-SHIFT-ROBUST-RISK-TRANSPORT	TyTransportable,TySelectionDiagram	related-name-only	2b4d217a04	D11 risk transport ≠ Pearl S-admissibility; do not collapse
undoc-kind	ModelFamily	none	undocumented-kind	2b4d217a04	sibling of TyModel; no Concept-ID
undoc-kind	AcquisitionPolicy	SOUNIO-POLICY-STATE-FEEDBACK	related	2b4d217a04	Family B Garden
undoc-kind	RecoursePolicy	SOUNIO-POLICY-STATE-FEEDBACK	related	2b4d217a04	Family B Garden
undoc-kind	AlternativePolicy	SOUNIO-POLICY-STATE-FEEDBACK	related	2b4d217a04	Family B Garden
undoc-kind	TransitionPolicy	SOUNIO-POLICY-STATE-FEEDBACK	related	2b4d217a04	Family B Garden
undoc-kind	MonitoringPolicy	SOUNIO-POLICY-OBSERVATION-ASSOCIATOR	related	2b4d217a04	Family B Garden
undoc-kind	DecisionPolicy	SOUNIO-POLICY-STATE-FEEDBACK	related	2b4d217a04	Family B Garden
undoc-kind	DeferralPolicy	SOUNIO-EXPLICIT-DISCHARGE	related	2b4d217a04	Family B Hypothesis (E097 names item)
undoc-kind	GradedEffect	none	undocumented-kind	2b4d217a04	no Concept-ID; not in CLAUDE.md nine effects
undoc-kind	SessionEnd	none	undocumented-kind	2b4d217a04	session type-state; no Concept-ID
undoc-kind	CondIndep	SOUNIO-PATH-CONDITIONED-PARTIAL-IDENTIFICATION	related	2b4d217a04	independence-as-type vs path-identification protocol
undoc-kind	Transportable	SOUNIO-PROOF-CARRYING-SHIFT-ROBUST-RISK-TRANSPORT	related-name-only	2b4d217a04	Pearl ≠ D11
undoc-kind	SelectionDiagram	SOUNIO-PROOF-CARRYING-SHIFT-ROBUST-RISK-TRANSPORT	related-name-only	2b4d217a04	Pearl ≠ D11
undoc-kind	FairnessGap	none	undocumented-kind	2b4d217a04	Family G Garden; no justice Concept-ID; zero docs
undoc-kind	ConditionalDist	none	undocumented-kind	2b4d217a04	Sprint 23 P
undoc-kind	VecShaped	none	undocumented-kind	2b4d217a04	Sprint 23 V
undoc-kind	MatrixShaped	none	undocumented-kind	2b4d217a04	Sprint 23 V
undoc-kind	VariationalFamily	none	undocumented-kind	2b4d217a04	Sprint 23 X
undoc-kind	MarkovChain	none	undocumented-kind	2b4d217a04	Sprint 24 B
undoc-kind	StationaryDist	none	undocumented-kind	2b4d217a04	Sprint 24 B
undoc-kind	SliceMut	none	undocumented-kind	2b4d217a04	primitive; 0 docs files
undoc-kind	RawPtr	none	undocumented-kind	2b4d217a04	primitive; has TypeExpr; 0 docs files
family-g	DiffPrivate	none	undocumented-kind	2b4d217a04	v2 Executable; deepest=checker; no privacy Concept-ID; no HLIR name
family-g	DPBudget	none	undocumented-kind	2b4d217a04	v2 Executable; deepest=checker; two queries do not spend; no Concept-ID
family-g	FairPrediction	none	undocumented-kind	2b4d217a04	v2 Garden; deepest=checker; no TypeExpr; no justice Concept-ID
family-g	FairnessGap	none	undocumented-kind	2b4d217a04	v2 Garden; also in the 22; no TypeExpr; no Concept-ID
