id	surface	kind	owner	madaros	lean	proof	recipe
F-CHECK-E175	MADAROS_ONLY_REJECT E175	family	LEAN_DEFECT	E175	accept	Aug-17 n=13	follow Madaros
F-CHECK-E004	MADAROS_ONLY_REJECT E004	family	LEAN_DEFECT	E004	accept	Aug-17 n=10	follow Madaros
F-CHECK-E035	MADAROS_ONLY_REJECT E035	family	LEAN_DEFECT	E035	accept	Aug-17 n=10	follow Madaros
F-CHECK-E012	MADAROS_ONLY_REJECT E012	family	LEAN_DEFECT	E012	accept	Aug-17 n=7	follow Madaros
F-CHECK-E036	MADAROS_ONLY_REJECT E036	family	LEAN_DEFECT	E036	accept	Aug-17 n=7	follow Madaros
F-CHECK-NONE	MADAROS_ONLY_REJECT no E-code	family	LEAN_DEFECT	reject NONE	accept	Aug-17 n=91	give seed the diagnostic wire
F-CHECK-LEAN-ONLY-REJECT	tests/run-pass check	family	LEAN_DEFECT	accept	reject (often lean_err=NONE)	Aug-17 n=377	seed cannot accept the language
F-CHECK-DIAG-DIFF	tests/run-pass check	family	LEAN_DEFECT	E-code A	E-code B or none	Aug-17 raw 15 / strict 6	Madaros code wins unless proof
F-RT-RC-DIFF	835 AGREE_ACCEPT dual run	family	LEAN_DEFECT default	rc A	rc B	Aug-17 n=83	cite 83; escalate fabricated zero to MADAROS_DEFECT
F-RT-BANNER	souc run stdout hash	family	INSTRUMENT	compile banners	no banners	Aug-17 raw 835 / 453 hash	strip banners before any equality
F-RT-EMPTY-LEAN	rc_same lean stdout empty	family	INSTRUMENT	nonempty	empty	Aug-17 n=299	print-path / swallow
F-PARITY-MADAROS-ONLY	engine_parity_baseline	family	LEAN_DEFECT	runs	no binary	n=358; lorenz 172 solver 142	seed ports or loses coverage claim
F-PARITY-LEAN-ONLY	engine_parity_baseline	family	LEAN_DEFECT	no binary	runs	n=268; graphics/viz/async/heap	not Sounio until Madaros accepts or a proof is filed
F-PARITY-NEITHER	engine_parity_baseline	family	none	no binary	no binary	n=311	not a two-engine language fact
F-FORMATTER	19 numeric DIVERGE	family	DECISION	fixed 6-dec	scientific e-n	Aug-02; same value at 6 decimals	pick one print form
F-PRINT-NOTHING	closure/type-hash	family	MADAROS_DEFECT	prints nothing rc=0	prints PASS	expect-stdout; #1542	fix empty-green on Madaros
F-GUM-FO-MADAROS-RIGHT	madaros_gum_fo_* + independent_product	family	LEAN_DEFECT	JCGM number	dropped term	#1927 class; Aug-02 8 Madaros-right	port FO into seed
F-ARRAY-LIST	global_array_element_list_*	family	LEAN_DEFECT	distinct elements	first element replicated	source reading; seven siblings	seed stores each element
F-FFI-ALLOWLIST	ffi_integer_return stdlib_os/mem/time	family	CONTRACT/LEAN_DEFECT	allowlist emitters + E219	strip_extern_blocks stubs	KNOWN_LIMITATIONS engine split	seed follows allowlist
F-GPU	gpu_kernel_lane_loop	family	LEAN_DEFECT	PASS: kernel lane loop	no GPU CLI / different bytes	#1512; GPU is Madaros-only	do not run GPU files on the seed
D-closure_arity_2	tests/run-pass/closure_arity_2.sio	diverge70	MADAROS_DEFECT	prints nothing	PASS	expect-stdout PASS; #1542	fix print-nothing
D-closure_effect_transparent_hof	tests/run-pass/closure_effect_transparent_hof.sio	diverge70	DECISION	marker holds	marker holds	Aug-02 both satisfy	ignore leftover bytes or pin them
D-closure_escape	tests/run-pass/closure_escape.sio	diverge70	MADAROS_DEFECT	diverges on PASS file	PASS	expect-stdout PASS	treat as print-nothing cluster until proven otherwise
D-closure_returned	tests/run-pass/closure_returned.sio	diverge70	MADAROS_DEFECT	prints nothing	PASS	expect-stdout PASS	fix print-nothing
D-correlated_eq_identity	tests/run-pass/correlated_eq_identity.sio	diverge70	MADAROS_DEFECT	T1/T3a/T5cov FAIL	ALL PASS	expect-stdout ALL PASS; residual copy alias	finish imported large-struct copy
D-dissertation_frontend_parity_ref	tests/run-pass/dissertation_frontend_parity_ref.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default owner	re-adjudicate on Slurm if zero-vs-tiny
D-dissertation_pbpk14_model_form_uc	tests/run-pass/dissertation_pbpk14_model_form_uc.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout ALL TESTS PASSED	escalate if Madaros is fabricated zero
D-dissertation_pbpk28_degenerate_parity_ref	tests/run-pass/dissertation_pbpk28_degenerate_parity_ref.sio	diverge70	MADAROS_DEFECT	0 vs ~3e-7 tails	scientific residual	Aug-17 sample; #1792 border	do not tolerate into agreement
D-dissertation_pbpk28_parity_ref_haloperidol	tests/run-pass/dissertation_pbpk28_parity_ref_haloperidol.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	escalate if fabricated zero
D-dissertation_pbpk28_parity_ref_rapamycin	tests/run-pass/dissertation_pbpk28_parity_ref_rapamycin.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	escalate if fabricated zero
D-dissertation_pbpk28_parity_ref_venlafaxine	tests/run-pass/dissertation_pbpk28_parity_ref_venlafaxine.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	escalate if fabricated zero
D-dissertation_pbpk_qss_analytical_ref	tests/run-pass/dissertation_pbpk_qss_analytical_ref.sio	diverge70	MADAROS_DEFECT	trailing float 0 vs tiny	scientific residual	Aug-17 sample	same as degenerate parity
D-door1_dense1024_epistemic	tests/run-pass/door1_dense1024_epistemic.sio	diverge70	DECISION/#1792-border	0.114585 -> 0.000000	-> 2.756059e-17	Aug-17 sample; marker ALL PASS both	six-decimal same-value vs fabricated zero; do not pick a tolerance
D-epistemic_hessian_8inputs	tests/run-pass/epistemic_hessian_8inputs.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	re-adjudicate if zero fabrication
D-epistemic_mcts_full	tests/run-pass/epistemic_mcts_full.sio	diverge70	DECISION	marker holds	marker holds	expect-stdout EPISTEMIC_MCTS_FULL_PASS both	ignore leftover bytes
D-epistemic_ode_14comp	tests/run-pass/epistemic_ode_14comp.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	escalate if fabricated zero
D-epistemic_var_accumulator_slots	tests/run-pass/epistemic_var_accumulator_slots.sio	diverge70	LEAN_DEFECT	VAR_ACCUM_OK	wrong/missing	expect-stdout; Aug-02 Madaros-right	port accumulator into seed
D-f2_conjugation_swda	tests/run-pass/f2_conjugation_swda.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	re-adjudicate
D-ffi_integer_return	tests/run-pass/ffi_integer_return.sio	diverge70	CONTRACT/LEAN_DEFECT	allowlist emitter	stub	engine split	seed follows allowlist
D-generic_knowledge	tests/run-pass/generic_knowledge.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	re-adjudicate
D-global_array_element_list_call	tests/run-pass/global_array_element_list_call.sio	diverge70	LEAN_DEFECT	distinct	replicated first	ident family	seed stores each element
D-global_array_element_list_call_args	tests/run-pass/global_array_element_list_call_args.sio	diverge70	LEAN_DEFECT	distinct	replicated first	ident family	seed stores each element
D-global_array_element_list_call_args_multistmt	tests/run-pass/global_array_element_list_call_args_multistmt.sio	diverge70	LEAN_DEFECT	distinct	replicated first	ident family	seed stores each element
D-global_array_element_list_call_multistmt	tests/run-pass/global_array_element_list_call_multistmt.sio	diverge70	LEAN_DEFECT	distinct	replicated first	ident family	seed stores each element
D-global_array_element_list_cast	tests/run-pass/global_array_element_list_cast.sio	diverge70	LEAN_DEFECT	distinct	replicated first	ident family	seed stores each element
D-global_array_element_list_constfold	tests/run-pass/global_array_element_list_constfold.sio	diverge70	LEAN_DEFECT	distinct	replicated first	ident family	seed stores each element
D-global_array_element_list_ident	tests/run-pass/global_array_element_list_ident.sio	diverge70	LEAN_DEFECT	7 20 -3	7 7 7	source [X,20,Y]	seed stores each element
D-global_array_element_list_init	tests/run-pass/global_array_element_list_init.sio	diverge70	LEAN_DEFECT	10 20 30 LIST_OK	wrong	expect-stdout	seed stores each element
D-global_array_element_list_nonconst_failclosed	tests/run-pass/global_array_element_list_nonconst_failclosed.sio	diverge70	LEAN_DEFECT	fail-closed	diverges	ident family	follow Madaros
D-global_array_i8_signed_element_list	tests/run-pass/global_array_i8_signed_element_list.sio	diverge70	LEAN_DEFECT	signed elements	diverges	ident family	seed stores each element
D-gpu_kernel_lane_loop	tests/run-pass/gpu_kernel_lane_loop.sio	diverge70	LEAN_DEFECT	PASS: kernel lane loop	no/different	#1512; GPU Madaros-only	do not judge GPU on the seed
D-graphics_epistemic_demo	tests/run-pass/graphics_epistemic_demo.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout PASS both or leftover	re-adjudicate leftover
D-gum_compliance	tests/run-pass/gum_compliance.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	escalate if Madaros drops a GUM term (#1927 class)
D-gum_correlated	tests/run-pass/gum_correlated.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout PASS	related to correlated_eq residual
D-gum_euler_ode	tests/run-pass/gum_euler_ode.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout PASS	escalate if fabricated zero
D-gum_h1_end_gauge	tests/run-pass/gum_h1_end_gauge.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	re-adjudicate
D-gum_h1_native	tests/run-pass/gum_h1_native.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	re-adjudicate
D-gum_iso_budget_ode	tests/run-pass/gum_iso_budget_ode.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout PASS	escalate if fabricated zero
D-gum_supplement1_compliance	tests/run-pass/gum_supplement1_compliance.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	re-adjudicate
D-imported_f64_lognormal_science	tests/run-pass/imported_f64_lognormal_science.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	FO-import hole may escalate to MADAROS_DEFECT
D-interpolation	tests/run-pass/interpolation.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout ALL 11 TESTS PASSED	re-adjudicate leftover
D-knightian_dark_matter	tests/run-pass/knightian_dark_matter.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout PASS	re-adjudicate leftover
D-knowledge_octonion_structure	tests/run-pass/knowledge_octonion_structure.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout PASS	re-adjudicate leftover
D-let_var_binding_name	tests/run-pass/let_var_binding_name.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	re-adjudicate
D-m5_held_out_replication	tests/run-pass/m5_held_out_replication.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	escalate if fabricated zero
D-madaros_array_repeat_aggregate_distinct	tests/run-pass/madaros_array_repeat_aggregate_distinct.sio	diverge70	LEAN_DEFECT	ARRAY_REPEAT_DISTINCT OK	wrong	expect-stdout; Aug-02 Madaros-right	port into seed
D-madaros_gum_fo_deep_poly	tests/run-pass/madaros_gum_fo_deep_poly.sio	diverge70	LEAN_DEFECT	PASS marker	FAIL/wrong var	#1927 class	port FO into seed
D-madaros_gum_fo_div_if	tests/run-pass/madaros_gum_fo_div_if.sio	diverge70	LEAN_DEFECT	PASS marker	FAIL/wrong var	#1927 class	port FO into seed
D-madaros_gum_fo_interproc	tests/run-pass/madaros_gum_fo_interproc.sio	diverge70	LEAN_DEFECT	scale2=0.010000	scale2=0.002500	#1927; live class	port FO into seed
D-madaros_gum_independent_product	tests/run-pass/madaros_gum_independent_product.sio	diverge70	LEAN_DEFECT	0.032500	0.002500	source want_prod=0.0325	port FO product into seed
D-madaros_gum_multichannel_fo	tests/run-pass/madaros_gum_multichannel_fo.sio	diverge70	LEAN_DEFECT	PASS marker	FAIL/wrong var	#1927 class	port FO into seed
D-madaros_root2_multimodule_method_chain	tests/run-pass/madaros_root2_multimodule_method_chain.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	re-adjudicate
D-optimization_nelder_mead	tests/run-pass/optimization_nelder_mead.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout ALL 15 TESTS PASSED	formatter vs value
D-pbpk_analytical_crossvalidation	tests/run-pass/pbpk_analytical_crossvalidation.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	escalate if fabricated zero
D-pbpk_validation_euler	tests/run-pass/pbpk_validation_euler.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	escalate if fabricated zero
D-pbpk_validation_rk4	tests/run-pass/pbpk_validation_rk4.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	escalate if fabricated zero
D-plot3d_test	tests/run-pass/plot3d_test.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	re-adjudicate
D-print_f64_negative	tests/run-pass/print_f64_negative.sio	diverge70	LEAN_DEFECT	-0.000000	drops sign	IEEE -0.0	seed prints the sign
D-rapamycin_epistemic_adaptive	tests/run-pass/rapamycin_epistemic_adaptive.sio	diverge70	MADAROS_DEFECT	var=0.000000	~1e-5	#1792; FAMILY_A_VAR_LIVE	fix Madaros fabrication
D-rapamycin_epistemic_pbpk	tests/run-pass/rapamycin_epistemic_pbpk.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout ALL 6 TESTS PASSED	escalate if fabricated zero
D-rapamycin_iso_budget	tests/run-pass/rapamycin_iso_budget.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout PASS	escalate if fabricated zero
D-rapamycin_rk4_budget	tests/run-pass/rapamycin_rk4_budget.sio	diverge70	MADAROS_DEFECT	var=0 family	live residual	FAMILY_A_VAR_LIVE; #1792	fix Madaros fabrication
D-sparse_matrix	tests/run-pass/sparse_matrix.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout ALL 13 TESTS PASSED	formatter vs value
D-sret_forwarding_tuple_aggregate	tests/run-pass/sret_forwarding_tuple_aggregate.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	re-adjudicate
D-stdlib_mem_alloc	tests/run-pass/stdlib_mem_alloc.sio	diverge70	CONTRACT/LEAN_DEFECT	allowlist	stub	engine split	seed follows allowlist
D-stdlib_os_process	tests/run-pass/stdlib_os_process.sio	diverge70	CONTRACT/LEAN_DEFECT	allowlist	stub	engine split	seed follows allowlist
D-stdlib_time_basic	tests/run-pass/stdlib_time_basic.sio	diverge70	CONTRACT/LEAN_DEFECT	allowlist	stub	engine split	seed follows allowlist
D-test_integral_eq	tests/run-pass/test_integral_eq.sio	diverge70	LEAN_DEFECT	—	—	no expect-stdout; default	formatter vs value
D-text_interpolate	tests/run-pass/text_interpolate.sio	diverge70	LEAN_DEFECT	—	—	expect-stdout ALL 4 TESTS PASSED	re-adjudicate leftover
D-type_hash_3level_nesting	tests/run-pass/type_hash_3level_nesting.sio	diverge70	MADAROS_DEFECT	prints nothing	type-hash 3-level PASS	expect-stdout	fix print-nothing
