# leftover snapshot measured on d3ea284caf / 6098da3e82. claim-numeric 11 + hardware-skip census measured on 665f412bd9 (origin/main).
# Of the 11 claim-numeric rows published in 46b6db5497 (#1915): measured=yes=7 / empty=4. Line 43 marked kaxi measured=yes. grok-cli3 (2026-08-19): 318 DROP, 0 DIFF — that cell alone moves the published pair to 6 / 5. This file also marks functor, san, and windows as measured=no (instrument: numpy / unsupported --target), so the live column is measured=yes=3 / empty=8. The kaxi-only reading is almost half; the live column is more than half. SHA of the 11: 665f412bd9. kaxi 80 s is the cost of not measuring.
# polarity green on leftover rows is pass-measured. skip-vacuous is rc=0 that did not measure. measured=no means elapsed_sec is the cost of not measuring.
gate	family	kind	elapsed_sec	rc	capped	polarity	measured	propose_wire	note
fo_pk_struct_auc_thalf_driver_gate.sh	claim-numeric	gate_cost	1	1	no	red	yes	no	E137 undeclared second_order_mean. Published AUC Var 114.6 / t½ Var 0.249835 not reproduced. 1 s on 665f412bd9.
functor_f_g2_covariance_gate.sh	claim-numeric	instrument	0	1	no	red	no	no	ModuleNotFoundError: numpy. Selected, ran, measured nothing (no science Python). Published 6/6 unprotected. 0 s on 665f412bd9.
kaxi_ptx_golden_gate.sh	claim-numeric	instrument	80	1	no	red	no	no	318 DROP, 0 DIFF. Compile-driver abort: unreadable import self-hosted/gpu/erdos90_hc_smoke_emit.sio (absent on main). Never compared PTX bytes. Published 318/318 is not a byte measurement. 80 s is the cost of not measuring. SHA 665f412bd9; class from grok-cli3 2026-08-19.
kretikos_kaxi_lse8_gate.sh	claim-numeric	skip-vacuous	0	0	no	skip-vacuous	no	no	SKIPPED (no ptxas). Selected, ran, measured nothing. Published 7/7. 0 s on 665f412bd9.
kretikos_kaxi_phase_y_gate.sh	claim-numeric	skip-vacuous	1	0	no	skip-vacuous	no	no	SKIPPED (libcuda not found). Selected, ran, measured nothing. Published 3/3 GPU/CPU. 1 s on 665f412bd9.
kretikos_kaxi_sinkhorn16_gate.sh	claim-numeric	skip-vacuous	0	0	no	skip-vacuous	no	no	SKIPPED (no ptxas). Selected, ran, measured nothing. Published 7/7. 0 s on 665f412bd9.
native_v2_cpu_compiler_umbrella_gate.sh	claim-numeric	timeout-cap	180	124	yes	capped	no	no	>=180 s, died inside e2e_codegen_suite before writing gates.tsv rows. Published 12/12. Cap is not a measurement. Do not put this in a claim-root hot path.
san_imagenet_fpga_dl380_gate.sh	claim-numeric	instrument	0	1	no	red	no	no	ModuleNotFoundError: numpy. Selected, ran, measured nothing (no science Python). Published 8/8 unprotected. 0 s on 665f412bd9.
sedenion_phi_injectivity_gate.sh	claim-numeric	gate_cost	1	1	no	red	yes	no	Python oracle PASS; Sounio T9/T10 E175 private cd_product_16 / oct64_norm_sq_components. Published 10/10 stale. 1 s on 665f412bd9.
sounio_direct_driver_support_gate.sh	claim-numeric	gate_cost	16	0	no	pass-measured	yes	no	24/24 PASS. Only cheap green among the 11. 16 s wall on 665f412bd9.
windows_pe_smoke_gate.sh	claim-numeric	instrument	0	2	no	red	no	no	madaros unsupported option --target. PE checks never ran. Published 6/6 unprotected. 0 s on 665f412bd9.
kretikos_kaxi_phase_w2_gate.sh	hardware-skip	skip-vacuous	0	0	no	skip-vacuous	no	no	SKIPPED (local nvidia-smi missing). Same empty-green class as fmad. Not one of the 11 claim-numeric gates. 0 s on 665f412bd9.
kretikos_kaxi_phase_x_gate.sh	hardware-skip	skip-vacuous	0	0	no	skip-vacuous	no	no	SKIPPED (local nvidia-smi missing). Same empty-green class as fmad. Not one of the 11 claim-numeric gates. 0 s on 665f412bd9.
