source,target,weight
reis,vliegtuig,30
reis,zon,34
reizen,vakantie,23
reizen,vliegtuig,35
reizen,zon,23
relatie,liefde,31
relatie,man,17
restaurant,eten,79
restaurant,gezellig,19
restaurant,lekker,22
rijk,arm,32
rijk,geld,72
rijkdom,geld,61
rijkdom,geluk,16
roepen,boos,20
roepen,lawaai,19
roepen,luid,34
rommel,vuil,19
rond,bal,56
rond,dik,23
rood,bloed,44
rood,hart,21
rood,kleur,25
rood,liefde,30
roze,kleur,22
roze,meisje,16
ruimte,plaats,20
rust,slapen,26
rust,stilte,31
rustig,stil,17
ruzie,roepen,18
saai,les,27
saai,x,30
samen,gezellig,17
samen,groep,15
samen,twee,18
scherp,pijn,20
scherp,x,19
school,boeken,17
school,leren,29
schrijven,boek,20
schrijven,papier,43
schrik,angst,57
schrik,bang,51
seks,liefde,16
sex,bed,17
sex,liefde,16
sex,vrouw,15
sfeer,gezellig,29
slaan,pijn,55
slaan,ruzie,15
slapen,bed,65
slapen,dromen,24
slapen,moe,21
slapen,nacht,22
slecht,goed,18
slecht,weer,16
slim,dom,19
slim,school,15
sneeuw,koud,54
sneeuw,winter,20
sneeuw,wit,74
snel,auto,26
snel,lopen,22
snel,vliegtuig,18
snel,vlug,30
snelheid,auto,61
snoep,lekker,45
snoep,ongezond,15
snoep,zoet,35
sociaal,vriendelijk,15
sociaal,vrienden,19
soep,groenten,26
soep,lekker,17
soep,warm,45
spannend,boek,37
spannend,film,49
spanning,stress,35
spel,kinderen,17
spelen,bal,19
spelen,kinderen,38
spelen,plezier,20
sport,lopen,17
sport,voetbal,34
sport,zwemmen,16
spreken,mond,15
spreken,praten,38
spreken,taal,24
stad,druk,19
stank,geur,19
stank,vies,17
steen,hard,59
steen,huis,19
sterk,kracht,17
sterk,man,16
stevig,hard,23
stevig,sterk,55
stevig,vast,24
stil,rust,24
stil,rustig,33
stilte,natuur,17
stilte,rust,61
stinken,geur,15
stinken,vies,15
stoer,man,19
stoer,sterk,26
stof,kleding,15
stof,vuil,26
stom,dom,55
stout,kind,40
stout,straf,26
straat,auto,17
straat,huis,15
straat,weg,19
straf,gevangenis,24
strand,vakantie,18
strand,zand,49
strand,zee,75
strand,zon,49
streng,ouders,22
streng,school,20
streng,x,20
stress,druk,17
stress,werk,39
studeren,boeken,18
studeren,leren,33
studeren,school,21
studie,leren,32
studie,school,19
stuk,kapot,73
taal,spreken,23
taart,feest,19
taart,lekker,42
tafel,eten,68
tanden,eten,17
tanden,wit,52
tekst,boek,23
tekst,lezen,45
tekst,schrijven,17
tekst,woorden,24
televisie,film,20
televisie,nieuws,16
thuis,gezellig,34
thuis,huis,15
thuis,rust,16
thuis,warm,15
thuis,warmte,17
toekomst,onzeker,15
toekomst,x,19
tof,fijn,23
tof,leuk,58
tof,plezant,20
traag,snel,33
triest,verdriet,20
trouw,hond,18
trouw,huwelijk,39
tuin,bloemen,39
tuin,gras,53
tuin,groen,23
tv,film,24
twee,samen,17
uitgaan,dansen,27
uitgaan,drinken,18
uitgaan,plezier,21
uitgaan,vrienden,16
vader,moeder,35
vakantie,strand,24
vakantie,zee,25
vakantie,zon,59
vallen,pijn,75
vals,gemeen,16
vals,oneerlijk,19
vast,stevig,25
vechten,bloed,17
vechten,pijn,27
vechten,ruzie,18
veel,eten,17
veel,massa,15
veel,weinig,28
veel,x,15
veilig,thuis,20
veilig,verkeer,25
veiligheid,verkeer,24
ver,afstand,29
ver,reizen,15
ver,weg,24
verdriet,pijn,32
verf,kleur,30
verf,muur,28
verhaal,boek,32
verhaal,sprookje,26
verkeer,auto,50
verkeer,druk,23
verkeer,drukte,18
verkeerd,fout,73
verkeerd,koffie,16
verleden,geschiedenis,26
verleden,toekomst,17
verleden,vroeger,15
verlies,dood,31
verlies,geld,24
verlies,verdriet,30
vermoeiend,bed,16
vermoeiend,lopen,16
vermoeiend,moe,20
vermoeiend,slapen,29
vermoeiend,sport,17
vertrouwen,vriend,15
vertrouwen,vrienden,19
vervelend,ambetant,24
vervelend,saai,44
vet,dik,62
vet,eten,21
vies,vuil,53
vies,x,15
vis,eten,18
vis,water,25
vis,zee,38
vlees,dier,17
vlees,eten,23
vlees,lekker,16
vliegtuig,lucht,27
vliegtuig,reizen,16
vliegtuig,vakantie,22
vlug,snel,84
voedsel,eten,71
voedsel,lekker,26
voetbal,bal,27
voetbal,sport,15
vogel,lucht,22
volk,land,19
volk,massa,22
volk,mensen,46
voorzichtig,verkeer,15
vreemd,anders,15
vreemd,raar,69
vreemd,x,32
vreugde,blij,18
vreugde,geluk,27
vreugde,lachen,20
vreugde,plezier,28
vriend,vertrouwen,18
vriendelijk,lief,43
vriendelijk,x,21
vrienden,plezier,16
vriendin,vertrouwen,15
vriendschap,liefde,20
vriendschap,vrienden,17
vrij,vogel,18
vroeger,verleden,23
vrolijk,blij,50
vrolijk,lachen,23
vrolijk,zon,15
vrouw,man,37
vrouw,moeder,17
vrouw,mooi,25
vrouwelijk,mooi,21
vrouwelijk,zacht,17
vrouwen,mannen,28
vrouwen,mooi,16
vuil,vies,29
vuur,rood,15
vuur,warm,52
wachten,dokter,20
wachten,tijd,17
wachten,trein,16
wandelen,bos,40
wandelen,natuur,15
warm,koud,24
warm,zomer,30
warm,zon,47
warmte,vuur,36
warmte,zon,33
water,drinken,31
water,nat,15
water,zee,27
water,zwemmen,22
wedstrijd,voetbal,24
wedstrijd,winnen,47
weer,regen,60
weer,zon,56
weg,auto,27
weg,straat,23
weinig,geld,18
weinig,niets,16
weinig,veel,31
weinig,x,18
wereld,aarde,29
werk,geld,29
werken,geld,41
wetenschap,kennis,19
wetenschap,onderzoek,16
wijn,glas,23
wijn,lekker,15
wijn,rood,51
wijn,wit,23
wild,dier,19
wind,koud,31
wind,zee,27
winkel,eten,28
winkel,geld,36
winkel,kopen,31
winnen,wedstrijd,21
winter,koud,61
winter,sneeuw,74
wiskunde,moeilijk,26
wit,kleur,15
wit,sneeuw,41
wit,zwart,35
woede,boos,29
woede,kwaad,32
woede,rood,17
woord,taal,33
woorden,boek,17
woorden,spreken,20
woorden,taal,28
zalig,genieten,23
zalig,heerlijk,26
zand,strand,56
zand,zee,71
zand,zon,15
zee,blauw,15
zee,strand,39
zee,water,39
zee,zon,19
ziek,bed,34
ziek,dokter,21
ziek,pijn,18
ziekenhuis,bed,21
ziekenhuis,dokter,26
ziekenhuis,wit,21
ziekenhuis,ziek,24
ziekte,bed,15
ziekte,dokter,23
ziekte,pijn,22
ziekte,ziekenhuis,17
zielig,triest,17
zingen,muziek,23
zingen,vals,17
zoet,lekker,16
zoet,snoep,61
zomer,strand,17
zomer,vakantie,33
zomer,warm,43
zomer,zon,63
zon,geel,17
zon,vakantie,23
zon,warm,40
zon,warmte,26
zon,zomer,26
zwaar,dik,26
zwaar,licht,21
zwaar,x,18
zwart,donker,48
zwart,dood,15
zwart,nacht,26
zwart,wit,29
zwart,x,15
zwemmen,water,59
