ATTEMPT_INDEX	PARENT_V7_ORDINAL	CHECKPOINT_ROLE	DEPTH_DELTA	NODE_ID	CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	RUN_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	SUMMARY_SHA256	C1_ORIENTATION_UNRESOLVED	C2_HULL_ORIENTATION_UNRESOLVED	EVENT1_CHARTS_CERTIFIED	EVENT2_CHARTS_CERTIFIED	HOMOGENEOUS_COMPUTATION_VALID	CERTIFICATE_PASS	PROBE_PASS
11	23	MASKED_TARGET	2	U05-0000000024_S06-0000000040	C0HORect2Set	DESCENDANT_PROBE_REJECTED	0	6433	932336d4bac3ea66b61850f9b0740b26920799bc67720249047f913afc51cb64	95bb891c685f4daa0c37d3ee11268bb3a6ad5719c360b55d23b549ed4060efff	e6b0ed90b0b4655938a18646f35e0ef18becc109cef3b9746f1897880bf85cf4	de7f1a90854534904c65c51c5e23f0fd0a4d09937bbb764803dd49ceb659032e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
12	23	MASKED_TARGET	2	U05-0000000024_S06-0000000040	C0Rect2Set	DESCENDANT_PROBE_REJECTED	0	6150	932336d4bac3ea66b61850f9b0740b26920799bc67720249047f913afc51cb64	95bb891c685f4daa0c37d3ee11268bb3a6ad5719c360b55d23b549ed4060efff	4d533ae3ac16cbcf3dba89af24c997d2cb26d2fef4cff82d18b82232b66a0a1a	f27d298a23e467d544d1a17f85010c686263e88d3388dba7c9cf73113e1bab54	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
13	23	MASKED_TARGET	3	U06-0000000048_S07-0000000080	C0HORect2Set	DESCENDANT_PROBE_REJECTED	0	6338	a061398f894bb0f3bce339d01e18e213afb468b27d55319f999364b65f5ef7fc	0d71f234a4b24b37a412ac8d5980077d6f9f124618d1ce4b2124d10fe588dc42	25b45ec425cd8bda3d99ff3ac0748d8f86df95fe451906bdaf6e0aa36a4f5259	ba9893d6380f78178af6b1d88ba7683d9f4c07d34f77d572100423420425154f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
14	23	MASKED_TARGET	3	U06-0000000048_S07-0000000080	C0Rect2Set	DESCENDANT_PROBE_REJECTED	0	6130	a061398f894bb0f3bce339d01e18e213afb468b27d55319f999364b65f5ef7fc	0d71f234a4b24b37a412ac8d5980077d6f9f124618d1ce4b2124d10fe588dc42	a1c688ddc1fa6af6f42e109a830dc9a3f3ad82fa260c01157941a6e1e417dbf6	d0f2cf48aaf708a69e2427acadd1ad6c3fe1a050be61829df861e042f53be1be	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
15	23	MASKED_TARGET	4	U07-0000000096_S08-0000000160	C0HORect2Set	DESCENDANT_PROBE_PASS	0	6331	a53f767d8dcaaabc7de2abb33da363b4ab2d3cd3ce2c251bcd7d5c98d61efbb3	5b4141c2923a8a8fc970d0b688137768167a08b6bb79f2ac8aeeee4f6159fafc	8b2a0c2d78097de1d715f5b49f277df7e104061b26788060ec0848b037d3a891	6c45e8b0c3c161996f8f12578ac1ae4c2a8b43d5480a41c7baef6a96fb971535	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
16	23	MASKED_TARGET	4	U07-0000000096_S08-0000000160	C0Rect2Set	DESCENDANT_PROBE_PASS	0	6134	a53f767d8dcaaabc7de2abb33da363b4ab2d3cd3ce2c251bcd7d5c98d61efbb3	5b4141c2923a8a8fc970d0b688137768167a08b6bb79f2ac8aeeee4f6159fafc	05444973d61d356503f5f66ddd4767d2f08c78d348116c1b8f254df3db744fd6	09ab3bd1acf69e5752c6c0d9c4c8a2e896f6511ebab028fbf87df1488237e038	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
17	24	POSITIVE_CONTROL_RIGHT	1	U04-0000000014_S05-0000000016	C0HORect2Set	DESCENDANT_PROBE_REJECTED	0	6519	5a4bbdc39538cfea0e3a5563bf7d6e2b10e6a3f4498f8a8b6e0e78a08ca7128e	f209536297869502451c5fe88f94597e9fcecd3896774b23e9b2e16f49ab2a74	d30962d8a018f143ae137d648fd12fa2c2773b01c481d92e1f036d3848a74c7a	b2ff20cc8a707ef7f5126df3daa87c31642686e08858afcf91630fb2ff98451d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e9a1c213100e4463d6767628b37730c66a66dc26e71636d3528843da8ad874f3	true	true	false	false	false	false	false
18	24	POSITIVE_CONTROL_RIGHT	1	U04-0000000014_S05-0000000016	C0Rect2Set	DESCENDANT_PROBE_REJECTED	0	6124	5a4bbdc39538cfea0e3a5563bf7d6e2b10e6a3f4498f8a8b6e0e78a08ca7128e	f209536297869502451c5fe88f94597e9fcecd3896774b23e9b2e16f49ab2a74	d010a2a85d0e53a957ff6526add6168cfb1fd08d28ba8512eb806499d2d971ca	ab1051a96c9e5533a2c6cb4f77cb7e8146598a284ebd5ec6660b33e8e40b9ac1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e9a1c213100e4463d6767628b37730c66a66dc26e71636d3528843da8ad874f3	true	true	false	false	false	false	false
19	24	POSITIVE_CONTROL_RIGHT	2	U05-0000000028_S06-0000000032	C0HORect2Set	DESCENDANT_PROBE_REJECTED	0	6420	7bc64b6511bd14c400b9e76eb0c1f88a32597bd46489933b57277ca50b8d57c5	83c83f32b2fc5f657e490a5a440f55c640924bdae1d112ba685b928c60461fc6	ebe48fba27412bf811b5e28545c2ff257a2c534246a25cb29883bc8f612e96b6	ba16be27afb313b595787328247757a2caa8234e6ede2cbf2adc798919104880	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
20	24	POSITIVE_CONTROL_RIGHT	2	U05-0000000028_S06-0000000032	C0Rect2Set	DESCENDANT_PROBE_REJECTED	0	6135	7bc64b6511bd14c400b9e76eb0c1f88a32597bd46489933b57277ca50b8d57c5	83c83f32b2fc5f657e490a5a440f55c640924bdae1d112ba685b928c60461fc6	ccbef4e7a411c12d4bce1a613763a14065ac9042cc59156d9074392ebbd2c079	c00168e0049f84cf544dd07e348a6abe835b1a8ddf7d4df9b83d332b754b52b0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
21	24	POSITIVE_CONTROL_RIGHT	3	U06-0000000056_S07-0000000064	C0HORect2Set	DESCENDANT_PROBE_REJECTED	0	6568	8a1a3cd821b34075615855bcfd186f700be1707504cd1ccf0ee339e225892447	560a119df3155dcf569111635c27c1b4c8ac9c93b3eb70d7ff988994a82f91e2	8ab791a92428b63566b56f15e2fdc5de8adfc5968a79d5239951568b5120b7ea	1e265572df1aba1e94bf69d4fcdbbaead7a41d2d134fd00c47746974ecf91153	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
22	24	POSITIVE_CONTROL_RIGHT	3	U06-0000000056_S07-0000000064	C0Rect2Set	DESCENDANT_PROBE_REJECTED	0	6123	8a1a3cd821b34075615855bcfd186f700be1707504cd1ccf0ee339e225892447	560a119df3155dcf569111635c27c1b4c8ac9c93b3eb70d7ff988994a82f91e2	1200ac7a50298fd8b96b7d4b7255f85311515d45b3c76a32207c82398808888f	4339e22eb608a54a83d25e9010319fb944cc48834e9dfaff3567cbfd2916d7ae	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
23	24	POSITIVE_CONTROL_RIGHT	4	U07-0000000112_S08-0000000128	C0HORect2Set	DESCENDANT_PROBE_REJECTED	0	6477	a7a9c3080a5078361304f7a04938b9da466fdce226ae647f6d1717dc145ad197	dae2785981c494cb94db306492e54121c05fdb1872ce6f09a01ce96fb8fbdeb5	ce4289ccbc0be339964e65f38407fd4fdd033bc58692269fa1f7ea62c8df5318	ac9a23d9910f04c16e882c18ebaaa5133629200138496e2e5be3018ff07bd06c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
24	24	POSITIVE_CONTROL_RIGHT	4	U07-0000000112_S08-0000000128	C0Rect2Set	DESCENDANT_PROBE_REJECTED	0	6118	a7a9c3080a5078361304f7a04938b9da466fdce226ae647f6d1717dc145ad197	dae2785981c494cb94db306492e54121c05fdb1872ce6f09a01ce96fb8fbdeb5	88c05974807f439e63998f9a0b1a6be4f32df16566804651a312e97118403007	d7c4a376362b75b70e98b291e621ea4e94c2909916d2d72f2cfe94472338a7cc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
