ATTEMPT_INDEX	ORDINAL	SAMPLE_CLASS	STRATUM	NODE_ID	LIOUVILLE_CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	MANIFEST_ROW_SHA256	CELL_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	VERIFICATION_SHA256	CORE_RECEIPT_SHA256	PHYSICAL_SHA256	REFERENCE_PHYSICAL_SHA256	INITIAL_HULL_SHA256	MUTATION_TESTS	MUTATIONS_REJECTED	ALL_FINITE	DETERMINANT_JOINT_COMPATIBLE	C1_DET	C2_HULL_DET	LIOUVILLE_DET	CHART_TUPLE	PROBE_PASS	CERTIFICATE_PASS	SUBDIVISION_REQUIRED
11	4	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000002_S03-0000000001	C0HORect2Set	VERIFIED_COMPLETE	0	5960	be78b0dceb277ec4535d03fed4dfa882e2b56a0ed0a572c8160f174d4b63ab5a	9b5ff7e31ac757064c23984d037bf27ae69f43e4ffd4cf5f8556f13ae3b1b991	a73efb1582ad9facae745ee95520ea5ee627f224b8c3b1cfaf27a1c56fe75ece	744c7719ad3ee89c01bef9467620ab6862e74812a8198c3bf4c464a09ed5dc4a	75323828041ca6f5ca6506f7a1a80d4026261cd79cde7c6af7d0aef898caec4b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b89ea5a30640a8ecb156b4b8ad39b2018fabb71a4c253b21611685f2eec7ad1f	a6cf7d06d4935c72791644601fa911ee086f5c68dc553dc816bebae7090a348b	79c75602bbbe92ac57594f35e074c23941d74d3898cabcbb875484381552985f	16dc035df4e51e51efbb002f27a25cf80636334e1c9898e995d1b114546fe2dc	6506be07fb253df18bdba09c9373c3df370efae30543fbf7364934d5b1e01be5	93	93	true	true	[-0x1.80cfaba141b36p-12,0x1.89385bdb406dap-12]	[-0x1.80cfaba141b36p-12,0x1.89385bdb406dap-12]	[-0x1.09352ff103861p-35,-0x1.efb87257eae43p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
12	4	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000002_S03-0000000001	C0Rect2Set	VERIFIED_COMPLETE	0	5735	be78b0dceb277ec4535d03fed4dfa882e2b56a0ed0a572c8160f174d4b63ab5a	9b5ff7e31ac757064c23984d037bf27ae69f43e4ffd4cf5f8556f13ae3b1b991	a73efb1582ad9facae745ee95520ea5ee627f224b8c3b1cfaf27a1c56fe75ece	1d48779801b7c3cbf599fee8248b001e0ba31f90f0ebdc40cb720a3d4cc36366	eeacf8dd33725574989319789aafd13203d37aa6a9862d03ff6fca7869d441f0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6e7b5ef73b34b6931fcde07104d58e32382cc718147845649d3ca3d646290afb	5f39ea178bc9041d5ece50df88b9c73ac8c4013356923aba4d94034a0acc54ed	1a15004b346533dea7b3541295f346f8027f78458d9a4c7b627f25e2d1a64003	16dc035df4e51e51efbb002f27a25cf80636334e1c9898e995d1b114546fe2dc	6506be07fb253df18bdba09c9373c3df370efae30543fbf7364934d5b1e01be5	93	93	true	true	[-0x1.80cfaba141b36p-12,0x1.89385bdb406dap-12]	[-0x1.80cfaba141b36p-12,0x1.89385bdb406dap-12]	[-0x1.098c03a9eaf7ap-35,-0x1.ef13b408433c4p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
13	5	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000002_S03-0000000006	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5958	b63575ccafecf5a3de8b05fdafcb4bda41b2c4e093aa49227f1cde2525f080c8	06218bc91e5a49d64e40e1bd49e88746c8ef55ed8a7a73d781ad8c37c8d71160	7cf75dbe8ae3d77795f5224591d61777a3cb92aa2a2a3d3cdec956be902b225d	f6f530f224f02c05733bb8272034b44ad5616ace7eee58d5360f81a38c8eb363	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7d1a8bb356afe3cdeecb25e5299e5a0b738ea7966e96945da403c440231dba7b	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
14	5	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000002_S03-0000000006	C0HORect2Set	VERIFIED_COMPLETE	0	5970	b63575ccafecf5a3de8b05fdafcb4bda41b2c4e093aa49227f1cde2525f080c8	06218bc91e5a49d64e40e1bd49e88746c8ef55ed8a7a73d781ad8c37c8d71160	7cf75dbe8ae3d77795f5224591d61777a3cb92aa2a2a3d3cdec956be902b225d	dc36e4bdec36ce92c07895497f9371dcb329099818116c5484717be8660ab9ed	1a0d97191ca7d4c743279fe3551270878e548792067964e1c9c1da6428a017ab	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b15695985da940575d2d89b40a5db898b163c93cb83b66bd60569f9335845168	d278e4f01a425cbbbaa981f45e00e12c13d0b0681e3c18955144b726edc83914	7321713e73ab6c7a5927300005e722adb5b5d744648ab9fbf254a1f87dcdbb18	cff63e0b0c5c276774fde0d5d0833edeee4d0711de6b2878db908c09e29f65d0	c9795b65b0d7936ca641b01ca49e11d241c7c9293170cbe12759d051ef5fa3b4	93	93	true	true	[-0x1.8119a58fcf0cap-12,0x1.80392a383f0d1p-12]	[-0x1.8119a58fcf0cap-12,0x1.80392a383f0d1p-12]	[-0x1.002ebba6a3193p-35,-0x1.de4687074a962p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
15	5	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000002_S03-0000000006	C0Rect2Set	VERIFIED_COMPLETE	0	5764	b63575ccafecf5a3de8b05fdafcb4bda41b2c4e093aa49227f1cde2525f080c8	06218bc91e5a49d64e40e1bd49e88746c8ef55ed8a7a73d781ad8c37c8d71160	7cf75dbe8ae3d77795f5224591d61777a3cb92aa2a2a3d3cdec956be902b225d	13340a8cbd785cb287eec9c648d30e6bf76c5cdb1fbbb24e1ab4fca6a6cbacff	6d8460a749a62bef3c26d894d55a6e21e80fec3d5ee1620cdeb9b1538424f41b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	06857aadcfb532cb7e38fa93db9768d1cb5bbcee7286e3f30fbed7f76381cd51	b326bf331ea7e951d9dc7ab81f2390c23b76d913f1a9c8f5069f833748a10c59	d2b85e77440b0e703bbf9fb2fbed162f259eacea0c084b7d27d7a044ef1d18b1	cff63e0b0c5c276774fde0d5d0833edeee4d0711de6b2878db908c09e29f65d0	c9795b65b0d7936ca641b01ca49e11d241c7c9293170cbe12759d051ef5fa3b4	93	93	true	true	[-0x1.8119a58fcf0cap-12,0x1.80392a383f0d1p-12]	[-0x1.8119a58fcf0cap-12,0x1.80392a383f0d1p-12]	[-0x1.008b4489b88b9p-35,-0x1.dd98f7a079d8cp-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
16	6	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000003_S03-0000000000	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5925	8f073cbc64b1eeab9364747bee56df3ee7beabfcbb7d517a6743a1e5cc2b25e8	4cb1f0371d3c372a12f6364fce5b024859299b86eaf6749770e70cb241060979	bd67837efa65042eda4d00ed8ec2b3abe9d4d7339deec9c8705d25de7be5829c	040289aecfd561ca83a35781f75fcafcc09a7400025f9d36c9f018e4360ec0ca	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	88c63a965f5469d327a12abe6761f3fde68df4367b25d91df9b6dd52ce75e1f1	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
17	6	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000003_S03-0000000000	C0HORect2Set	VERIFIED_COMPLETE	0	6009	8f073cbc64b1eeab9364747bee56df3ee7beabfcbb7d517a6743a1e5cc2b25e8	4cb1f0371d3c372a12f6364fce5b024859299b86eaf6749770e70cb241060979	bd67837efa65042eda4d00ed8ec2b3abe9d4d7339deec9c8705d25de7be5829c	77ceb2aea19d316fc01c6b3551482de21e542405a58790c52ab20257e7779589	27b73cba425a10c3f88694a00ccf7956d61ffd7c59c7cf3a6d5fcbd2956f5be7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	fbd5702b61d70383c728d648bc3a9b80fd01dc900bf6e73e2c0dba54c9c89fd2	6ae2260e1215a1e8c1f1c79ff92797ac2157a208d4e916a2802b4333b0ffb377	67fe5147b4b24330e7b26cae79d0185db06ed4937aa6935aaa14b80423f265e4	18c447e958113f0a8d5586c26f9688f474bf3bfca18f7817c1f42fdaaad4ef59	8ff9f6a0695b0c9feee833b158461a2ddb265c75dee4a0ed782b0eedf9527c6e	93	93	true	true	[-0x1.820cbc43ee418p-12,0x1.8c14fddc0516ep-12]	[-0x1.820cbc43ee418p-12,0x1.8c14fddc0516ep-12]	[-0x1.0acd6147e8675p-35,-0x1.f2ca28e9dde66p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
18	6	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000003_S03-0000000000	C0Rect2Set	VERIFIED_COMPLETE	0	5757	8f073cbc64b1eeab9364747bee56df3ee7beabfcbb7d517a6743a1e5cc2b25e8	4cb1f0371d3c372a12f6364fce5b024859299b86eaf6749770e70cb241060979	bd67837efa65042eda4d00ed8ec2b3abe9d4d7339deec9c8705d25de7be5829c	609712b4c9a9e18bf4476877f49b328e4b40c3c4468790ff11d10bf57c640f68	463cd5188ec88f03afe339d9eda6d21344eca2c86f0e4a4573281ade6805baca	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	71c7ca865ac0b3a8b11c19515d44c4b1ebab497376bc533dbba65f66f7b06d6e	beedb8751b2d27d840c288288dc2b3380d0f91d24f8638a6f65106144362715e	8f84842fcf05d46d60d9205ebfb2cfb910cdf51b8e60d99026760bf7ca7cfe71	18c447e958113f0a8d5586c26f9688f474bf3bfca18f7817c1f42fdaaad4ef59	8ff9f6a0695b0c9feee833b158461a2ddb265c75dee4a0ed782b0eedf9527c6e	93	93	true	true	[-0x1.820cbc43ee418p-12,0x1.8c14fddc0516ep-12]	[-0x1.820cbc43ee418p-12,0x1.8c14fddc0516ep-12]	[-0x1.0b23032c402c9p-35,-0x1.f22d4271c4c12p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
19	7	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000003_S03-0000000002	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5899	5ac204689415690d412f5fc0f0ead93d334c39286ec4bdd932d1b0fd00296c45	2408451764e3fe675abeb3e0da66f0b0d4cd2de9b065a3fbfb90035d6ce6c5ed	b0357355ebdb0b8b0f9aee4a00ed7a7b279211994428df0c0e1f20f688697aff	458ed83ccf64a9e7d8e556ca5b3ccbac9b6f649c0e8a1e9934deb03c5b73fcc4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e2dbd222709d451d2f297ca395d9486ed40bf1fffe193427cc0f4dccc576b108	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
20	7	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000003_S03-0000000002	C0HORect2Set	VERIFIED_COMPLETE	0	5974	5ac204689415690d412f5fc0f0ead93d334c39286ec4bdd932d1b0fd00296c45	2408451764e3fe675abeb3e0da66f0b0d4cd2de9b065a3fbfb90035d6ce6c5ed	b0357355ebdb0b8b0f9aee4a00ed7a7b279211994428df0c0e1f20f688697aff	e53d02d1afd32efe53848fe3be4d62e362830e2b9d41c8075aa3f6882f6a9fce	55ebe8d0ddc2ab005ea18b5068bb591e2e03c265fa0cf9ef9b77390b9867fe2c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	16f5e1c00dac5175192dd1158925017e18c7cf616f6935769f45cce979232121	40a6beaa83c4b4e0b321216baa10d5cedf9d70d9ac082899d28bceeb59cdc6ea	ef3aa23a261272a2e5c0cf05146d151541e3b0fc13a8b1a421f6dcb17287b78e	eb035c51fe6cb6bfa49ed4908b032b077c92b5ed05a7d8ca9426b16c7df99d97	bddf1cf43d49b1b2f6ca804f44791d86ceeb36554ddf2d2ab53c0b6f247ee1df	93	93	true	true	[-0x1.7f4fff45dfd7cp-12,0x1.8658d3e6a7864p-12]	[-0x1.7f4fff45dfd7cp-12,0x1.8658d3e6a7864p-12]	[-0x1.072a39dd3a76bp-35,-0x1.ebbfcdff906a7p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
21	7	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000003_S03-0000000002	C0Rect2Set	VERIFIED_COMPLETE	0	5729	5ac204689415690d412f5fc0f0ead93d334c39286ec4bdd932d1b0fd00296c45	2408451764e3fe675abeb3e0da66f0b0d4cd2de9b065a3fbfb90035d6ce6c5ed	b0357355ebdb0b8b0f9aee4a00ed7a7b279211994428df0c0e1f20f688697aff	ec69847cfecf1906842d6ea6c3cbc3ba9b99c5f34900d487702cf4cf4e89327a	765278d364be0a4fe238a9432493cc17f0c227ed1c8f51fa83660bbe29933d91	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	34059a6b7bf1db4fb7adc2d099766cc3016cd5c8d9750abf86cce5faa5b541d1	a6ba3fa003ccfc85d13af3d83c33b0e99363b4fd672d4daed6ff62cbf57546b6	7960b411a5e6c4b621d810e16d3b12a322e290ec62af5a9d345af291cf1c8c47	eb035c51fe6cb6bfa49ed4908b032b077c92b5ed05a7d8ca9426b16c7df99d97	bddf1cf43d49b1b2f6ca804f44791d86ceeb36554ddf2d2ab53c0b6f247ee1df	93	93	true	true	[-0x1.7f4fff45dfd7cp-12,0x1.8658d3e6a7864p-12]	[-0x1.7f4fff45dfd7cp-12,0x1.8658d3e6a7864p-12]	[-0x1.0782350ffb433p-35,-0x1.eb1bd5ae7d8c3p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
